,Parameters,HO Group 1 Score,HO Group 2 Score,HO Group 3 Score,Mean CV Score,RankScore
96,"{'C': 1e-08, 'kernel': 'poly', 'gamma': 0.001, 'degree': 7}",0.1883362332753345,0.22637547249055018,0.18486739469578783,0.19985970015389085,290
97,"{'C': 1e-08, 'kernel': 'poly', 'gamma': 0.001, 'degree': 20}",0.22385552288954222,0.23153536929261415,0.21612864514580582,0.22383984577598737,183
98,"{'C': 1e-08, 'kernel': 'poly', 'gamma': 0.01, 'degree': 2}",0.22259554808903823,0.2140157196856063,0.20736829473178928,0.21465985416881128,228
99,"{'C': 1e-08, 'kernel': 'poly', 'gamma': 0.01, 'degree': 3}",0.20837583248335034,0.20639587208255836,0.2156486259450378,0.21014011017031553,252
100,"{'C': 1e-08, 'kernel': 'poly', 'gamma': 0.01, 'degree': 4}",0.21881562368752625,0.2368152636947261,0.21480859234369376,0.22347982657531537,184
101,"{'C': 1e-08, 'kernel': 'poly', 'gamma': 0.01, 'degree': 5}",0.22937541249175017,0.2121557568848623,0.2095283811352454,0.2170198501706193,214
102,"{'C': 1e-08, 'kernel': 'poly', 'gamma': 0.01, 'degree': 6}",0.2247555048899022,0.22061558768824624,0.21996879875195008,0.2217799637766995,192
103,"{'C': 1e-08, 'kernel': 'poly', 'gamma': 0.01, 'degree': 7}",0.20993580128397432,0.2239755204895902,0.19806792271690868,0.21065974816349106,250
104,"{'C': 1e-08, 'kernel': 'poly', 'gamma': 0.01, 'degree': 20}",0.2258954820903582,0.21683566328673426,0.2016680667226689,0.2147997373665871,227
105,"{'C': 1e-07, 'kernel': 'poly', 'gamma': 1e-08, 'degree': 2}",0.1525169496610068,0.14801703965920682,0.21306852274090965,0.17120083735370772,375
106,"{'C': 1e-07, 'kernel': 'poly', 'gamma': 1e-08, 'degree': 3}",0.2009359812803744,0.15437691246175075,0.16320652826113044,0.17283980733441853,369
107,"{'C': 1e-07, 'kernel': 'poly', 'gamma': 1e-08, 'degree': 4}",0.1614567708645827,0.18509629807403852,0.12468498739949598,0.15707935211270574,413
108,"{'C': 1e-07, 'kernel': 'poly', 'gamma': 1e-08, 'degree': 5}",0.12371752564948701,0.1870762584748305,0.156486259450378,0.15576001452489852,418
