,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_metric,param_n_neighbors,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
28,0.01612584590911865,0.000819524245951745,4.252991890907287,0.05904161493172107,chebyshev,5000,"{'metric': 'chebyshev', 'n_neighbors': 5000}",0.2166,0.2176,0.2104,0.2002,0.2206,0.209,0.2048,0.2132,0.2076,0.2152,0.21152,0.005982106652342464,2
29,0.016776680946350098,0.00022238251254849564,8.543857526779174,0.3234852322497135,chebyshev,10000,"{'metric': 'chebyshev', 'n_neighbors': 10000}",0.2076,0.2126,0.204,0.1972,0.212,0.2016,0.2034,0.209,0.2014,0.2148,0.20636000000000002,0.00544044115858264,12
30,0.015406942367553711,0.0011384112576618736,0.11772749423980713,0.004281687858649854,minkowski,1,"{'metric': 'minkowski', 'n_neighbors': 1}",0.1398,0.1458,0.1442,0.1418,0.136,0.1374,0.1394,0.1326,0.1358,0.1354,0.13882,0.00396630810704363,37
31,0.014737629890441894,0.0009394224476730681,0.12437198162078858,0.004752645263921582,minkowski,3,"{'metric': 'minkowski', 'n_neighbors': 3}",0.145,0.1464,0.1446,0.1392,0.1444,0.139,0.142,0.1336,0.1454,0.139,0.14185999999999999,0.0038554377183401623,33
32,0.016208696365356445,0.0016577995007032026,0.13018202781677246,0.006183840683623156,minkowski,5,"{'metric': 'minkowski', 'n_neighbors': 5}",0.1612,0.1608,0.1584,0.1468,0.154,0.1558,0.1584,0.1478,0.1668,0.154,0.15639999999999998,0.0058013791463754575,29
33,0.014484906196594238,0.0007749679377075286,0.12887682914733886,0.007123120237270195,minkowski,10,"{'metric': 'minkowski', 'n_neighbors': 10}",0.1784,0.1722,0.171,0.1692,0.1746,0.1698,0.1692,0.1654,0.1652,0.166,0.1701,0.003987229614657275,26
34,0.015121054649353028,0.0016835382773875767,0.13964827060699464,0.005340972351435899,minkowski,25,"{'metric': 'minkowski', 'n_neighbors': 25}",0.1958,0.1928,0.1944,0.1846,0.1888,0.1958,0.1828,0.1854,0.1836,0.1846,0.18885999999999997,0.005051771966350026,22
35,0.015415096282958984,0.0013875566686675515,0.16209640502929687,0.007904617919958569,minkowski,50,"{'metric': 'minkowski', 'n_neighbors': 50}",0.1966,0.1988,0.2048,0.1978,0.1986,0.1994,0.1954,0.1884,0.1846,0.1926,0.19570000000000004,0.005531184321643967,18
36,0.015183734893798827,0.000974566555708926,0.19526267051696777,0.006285053843274142,minkowski,100,"{'metric': 'minkowski', 'n_neighbors': 100}",0.2094,0.2054,0.206,0.2008,0.2126,0.1974,0.2016,0.198,0.1944,0.2008,0.20264000000000001,0.005371629175585376,13
37,0.014602041244506836,0.0003954819549206813,0.8826738595962524,0.015386528790450158,minkowski,1000,"{'metric': 'minkowski', 'n_neighbors': 1000}",0.2154,0.216,0.2088,0.2006,0.2218,0.21,0.208,0.206,0.2154,0.208,0.211,0.005808269966177538,7
38,0.016450262069702147,0.0005181917568259942,4.36317389011383,0.07460236326758314,minkowski,5000,"{'metric': 'minkowski', 'n_neighbors': 5000}",0.2156,0.2184,0.2086,0.1994,0.22,0.2078,0.2052,0.214,0.2094,0.2158,0.21142000000000002,0.0061151941915200065,3
39,0.016806316375732423,0.000287076004412716,8.565430545806885,0.10075977527555201,minkowski,10000,"{'metric': 'minkowski', 'n_neighbors': 10000}",0.2104,0.2146,0.2052,0.1986,0.2132,0.2044,0.206,0.209,0.205,0.215,0.20814,0.0049832118156867495,10
